00003n000000000000000000000000-ed2ae6d0-32ac-471a-b8b2-a718607ee376	negative	These things happen , Every job has its dangers.
00002n000000000000000000000000-1c30b878-b717-4e9a-9872-2ce2906ce783	neutral	Yes..because too many houses in EU look like the original Disney Hunted House so it didn't look scary enough. Bates Motel looks more American and that notion alone scares everyone.
1462203719963-3eeffb02-faae-4b51-9174-704c57e6de37	negative	"I am frankly quite SICK of the phrase ""shoved down our throat"" You know what? Back in the newspaper and three network days you could say that...Now with 300 or more TV channels and an endless internet...You can keep your throat relatively clear of things you don't want...All you have to do is change the channel or click a link to something you DO like... So let's stop it with the ""shoved down our throat"" rhetoric."
00002I000000000000000000000000-7ef2ac58-bd84-4027-88cf-b865bfe2f1f8	neutral	Ya, I always wonder why the conservatives are on Yahoo!, whining about all the liberals, when they could be hanging out with their own kind, patting each other on the back, over at Faux News. Don't like what you see, switch the channel. No, they're a bit hypocritical about shoving things down peoples throats, and want to force they're way upon others.
00003b000000000000000000000000-4a5ccbc3-4a6f-4ff6-a97a-6ec855d0fe89	positive	Great comment!
00003n000000000000000000000000-f1c6653c-a877-42e7-9d61-a2bb764246fb	neutral	They are also places where you are supposed not to be beaten to death either. If I locked up several animals all in one cage and came back some time later to find two of them had mauled and killed one on them I would be held accountable for animal cruelty at the least. I bet no one running this particular zoo ever is held accountable for this death tho.
00002b000000000000000000000000-498bb84f-8c31-481b-a8c3-c084f788b220	negative	Stop trying to make sense, it only confuses people, especially the stupid ones...and liberals.
00004g000000000000000000000000-1524cf7b-652d-43ec-b4eb-d023edeec1dd	neutral	"Madd...sorry - I can't help it. Grim....are you calling criminals ""animals""??? Raaaaacist!!!! (jk)"
00005n000000000000000000000000-d0c8ecc0-0216-4a6f-974c-f0de882e699a	neutral	You have to click on the link to go to Cosmo. Yahoo has been terrible about this lately.
00004n000000000000000000000000-c44d1de5-af2f-42db-9412-e2476ea1bd7b	negative	It's on the Cosmopolitan article you dolt.
00003g000000000000000000000000-5f0375ec-8977-4c94-88ad-a2c665c58cdc	neutral	lol i thought it's my computer
1459864307079-aeebbc73-f562-4540-8576-cdcebe13f099	neutral	Is it just my computer or is there not a single picture of her post-baby belly on this article? I didn't even see one on her Twitter account. Good grief.
00002g000000000000000000000000-c08bc8b6-ecd2-4066-bbc8-eefc29eb71b6	neutral	THANK YOU!!!!!!!!!!!!!!!! So annoying.. journalism today is questionable... @USERNAME
00006b000000000000000000000000-813fa08a-db88-4ea9-a43a-46db849f9663	neutral	At 16 I'd risk my left testicle for an A in English coupled with free sex. A win win doesn't get any better than that.
00004b000000000000000000000000-36522247-30be-42c8-9892-9b17e0b1e029	neutral	"So wish I would of been a ""victim"".. Id still be dealing with my.. lasting issues concerning it! hehe -great post brother -mike"
00008S000000000000000000000000-42896894-81c5-436e-864f-a612e64233b6	negative	"Look up teacher ""Michelle Yeh"" guys. Would've had me looking forward to clASS!"
